Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,-39.11773681640625,3.25046706199646,78.57801055908203,-2.3774092490946956,2.0987003095362087,175.88184631245866,-27.87485,14.012884,12.5692835,51.643803,-7.299433,1.3630906,-31.84438,-9.772822,-5.662107,53.596397,5.947606,1.250634,-1.1825061,-5.269059,26.891155,-9.507514,23.79124,-25.65121,59.388565,-3.6086593,3.1257815,14.537237,-17.293129,-14.872652,25.679846,48.342083,10.349453,-1.8393626,-20.010538
13,-41.90461730957031,3.267249584197998,76.14453125,-2.5453115104705053,1.980941864552276,173.74236538202933,-30.327854,14.664102,12.041071,53.58546,-10.336642,1.4956071,-34.465816,-10.2500725,-4.1403193,64.91617,0.16857907,1.2639495,-0.8203505,-5.8697133,27.284365,-9.532297,23.769201,-25.536663,59.358704,-4.3546023,3.342716,15.224559,-17.731133,-15.37488,25.766462,45.526295,11.418877,-2.2789907,-22.01657
14,-44.534122467041016,3.237732410430908,73.31888580322266,-2.3971050364103603,1.0002763454529429,172.09129473482025,-34.34366,15.832967,9.606122,66.31274,-15.488119,1.6724986,-37.824215,-9.688633,-1.3802227,77.352615,-3.6785839,1.446206,-0.89726835,-6.2515354,27.307774,-10.311232,23.74903,-25.131813,59.382824,-4.927982,3.2347991,16.535475,-16.83806,-15.6477165,25.35777,43.540863,11.386665,-2.8167727,-24.424831
15,-46.9655876159668,3.160818338394165,70.22611236572266,-2.933763040768861,-1.0236087149983533,170.4410619719372,-38.273357,17.012192,6.6286216,82.20165,-22.254631,2.1186337,-41.016228,-8.67341,1.198281,91.28116,-8.555073,1.604285,-1.0418658,-6.2351785,26.423153,-11.625981,23.791325,-24.66913,59.508545,-6.049176,3.290245,17.533321,-15.638553,-15.913081,25.003464,42.74658,10.008493,-2.947286,-25.927126
16,-49.193729400634766,3.0635859966278076,67.21627807617188,-3.5682577563058,-3.1706485182370976,168.894935924904,-40.95062,17.574196,3.4159365,96.17814,-27.956408,1.8025254,-42.8688,-7.9747806,2.7476463,103.47246,-14.555786,1.7545515,-0.96510714,-5.7815804,25.312101,-13.243001,24.098976,-24.687216,58.871452,-5.9171543,3.1849406,18.356617,-14.028972,-16.20898,25.087975,43.59084,8.621483,-3.583563,-26.974474
17,-51.215415954589844,2.9678046703338623,62.344337463378906,-4.195463082446369,-5.626532897067835,168.02257382450648,-42.34979,17.26787,-0.0550427,109.39511,-32.753605,1.2390355,-43.40948,-7.6443114,3.720315,114.53813,-20.341446,1.509015,-0.79854494,-5.060814,23.453472,-14.125807,24.471952,-24.140074,57.303616,-5.8177204,3.835638,18.598604,-11.29795,-16.40273,25.234926,44.738575,7.509696,-3.7977915,-27.113504
18,-53.06238555908203,2.8915464878082275,57.86531066894531,-4.852611795985929,-8.584359876363457,167.4497293581712,-42.373455,16.580885,-3.0116267,120.48986,-35.783173,0.031090826,-42.592228,-6.968054,4.752356,123.584114,-26.321014,1.7119029,-0.6184642,-4.1384673,21.14404,-14.123669,24.853783,-22.797602,55.341682,-5.834763,4.654928,18.62944,-8.4016905,-16.53111,25.483852,46.645695,5.657079,-3.7395635,-26.370459
19,-54.79189682006836,2.8563036918640137,53.9318962097168,-5.457994303913982,-11.857918872794736,166.98495343413987,-40.490883,15.2079735,-5.8317585,129.36815,-38.66933,-2.142378,-40.137955,-4.8891444,6.430129,131.47008,-32.060253,3.0427036,-0.6983024,-3.232561,18.407463,-12.940121,25.186909,-21.439266,53.50572,-5.168927,4.985877,19.68072,-5.399179,-16.64168,25.594086,48.67033,4.45759,-3.7475262,-24.819355
20,-56.47789764404297,2.864633798599243,50.53196716308594,-6.264459179705388,-14.700073784643843,166.96133795939815,-36.65915,13.42711,-8.63039,136.7337,-41.58936,-4.680499,-36.1008,-3.1230495,8.255814,137.95728,-37.06002,4.76013,-0.68771887,-2.4011889,15.545848,-10.845236,25.426208,-19.688723,51.169205,-4.1964383,5.6110773,20.210018,-1.6255193,-16.64966,25.03085,50.581238,4.069754,-4.2188926,-24.307976
21,-58.167545318603516,2.9213380813598633,48.869388580322266,-6.897645058618683,-17.224260657223493,166.5562761988186,-29.827776,12.44022,-9.973887,142.03084,-44.55881,-7.6878777,-30.960173,-2.0084407,9.663773,143.30728,-41.715855,6.4089584,-0.78428805,-1.6046733,12.5265465,-7.6058497,25.596792,-18.746393,49.018982,-2.606001,5.2717657,20.874243,1.5896786,-16.7048,24.55113,52.29713,3.674457,-4.6253486,-22.961979
