Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,0.07577859610319138,-2.170726776123047,81.67616271972656,0.9584798101676415,-5.678070706435156,53.116820350006535,-6.54981,13.010079,10.637655,33.630596,-9.737636,-9.126869,4.769833,-17.794485,-29.65727,32.670563,-18.88129,7.254498,0.59209263,1.4245477,1.6595802,3.2547398,11.804088,-33.094376,72.15401,-3.4704728,5.0296783,10.284027,7.7611237,-12.153739,32.623077,69.08931,7.004369,3.2608728,-9.524625
13,0.2144068032503128,-2.203735589981079,81.65684509277344,1.1698303511621473,-5.721167009365649,53.36721599179189,-6.4855943,12.912637,10.747262,33.55697,-9.623195,-9.24407,4.966079,-17.966864,-29.848307,32.691967,-19.202015,7.2306743,0.5956835,1.4949439,1.7388831,3.4078045,11.961618,-32.83468,71.91036,-3.7534633,5.1874743,10.104633,8.085008,-12.202117,32.485275,68.67758,6.8904614,3.4922433,-9.425248
14,0.39193710684776306,-2.183640480041504,81.64728546142578,1.2880397758416373,-5.701982245278615,53.52275392103975,-6.4213886,12.933565,10.842321,33.525524,-9.554345,-9.363006,5.164139,-18.060024,-30.132204,32.685905,-19.412401,7.2180104,0.5714148,1.5682338,1.8013691,3.6470373,12.097409,-32.6587,71.75633,-4.033859,5.2657824,10.005775,8.404273,-12.227676,32.36932,68.360016,6.833431,3.650192,-9.473946
15,0.6009198427200317,-2.123809576034546,81.64112854003906,1.311957972008522,-5.6920540887812345,53.63769289208378,-6.3490334,13.049966,10.84246,33.594913,-9.423952,-9.483579,5.398602,-18.041157,-30.41104,32.693523,-19.534538,7.1883893,0.5174717,1.6445293,1.886214,3.972288,12.274194,-32.539238,71.632126,-4.2484074,5.374667,9.904214,8.742523,-12.234956,32.32402,68.08851,6.8680687,3.750405,-9.588461
16,0.8439221382141113,-2.0188989639282227,81.74691772460938,0.8202743977072046,-3.5084628418126975,53.486221226850674,-8.659448,14.055729,11.255992,33.96814,-7.854362,-9.5433445,4.6703377,-18.795555,-35.12489,32.23002,-19.218182,7.482589,0.020513944,2.2895932,1.8633854,4.647429,12.295433,-31.584272,71.4622,-3.386322,4.5339503,8.994591,8.639136,-12.212129,31.596077,67.555305,6.7818136,4.273313,-10.894887
17,1.0772002935409546,-1.9625242948532104,81.73667907714844,1.1437732191553927,-3.6234328809335596,53.70804496126738,-8.358284,13.71865,11.147274,33.78693,-7.669714,-9.869887,4.840647,-18.83569,-34.588943,32.245087,-19.762241,7.384198,-0.10808447,2.2579508,1.9715843,4.8765655,12.340526,-31.40355,71.52664,-2.7174137,4.624474,9.046889,8.835231,-12.184394,31.60171,67.577,6.735887,4.2732763,-11.002172
18,1.296985149383545,-1.9386036396026611,81.7330093383789,1.1069657747916832,-3.655421326548554,53.85679206535045,-8.42097,13.751039,10.667706,34.032482,-7.3329387,-9.883769,4.9630046,-18.38644,-34.139698,32.052273,-20.117632,7.306927,-0.16665159,2.3911695,2.0171578,4.9702516,12.435886,-31.42859,71.716576,-2.3414273,4.8173633,8.983506,8.988738,-12.106168,31.617512,67.70346,6.9704022,4.373719,-11.683721
19,1.495418906211853,-1.9618722200393677,81.73303985595703,1.2707131827802454,-3.73484803473048,53.78630163982512,-8.2982,13.497819,10.21257,34.01864,-7.0657063,-10.115715,4.9868546,-18.31764,-33.749973,32.13552,-20.273096,7.119077,-0.1378843,2.433069,2.0923262,5.1214776,12.512662,-31.17738,71.794,-2.2800522,4.917902,8.622635,9.049046,-12.062221,31.563467,67.57011,6.8673387,4.1522303,-11.423374
20,1.6698486804962158,-2.0248827934265137,81.735107421875,1.228513871513735,-3.7850296713059683,53.774541577533086,-8.2877035,13.693224,10.074298,34.154697,-6.9490013,-10.098603,5.039686,-18.092733,-33.695244,32.20595,-20.556528,6.796364,-0.19447863,2.4557254,2.360314,5.0796185,12.6364975,-30.87872,71.94924,-2.0610363,5.0258174,9.024411,8.936275,-12.00184,31.46907,67.5178,7.0240707,4.3018627,-11.586732
21,1.8266016244888306,-2.113762140274048,81.75254821777344,1.2351564085968456,-3.7469857156011606,53.57401755709005,-8.427701,13.702975,9.6574955,34.367485,-6.535006,-10.168723,4.9216437,-17.815397,-33.401802,32.121746,-20.545616,6.652172,-0.25627446,2.5676146,2.4790473,5.194529,12.779778,-30.69035,71.97844,-2.23576,4.863935,8.760331,8.652736,-11.955419,31.424528,67.596085,7.053347,3.9383295,-11.34519
22,1.9718501567840576,-2.212367296218872,81.73776245117188,1.0954034560835568,-3.6733784383432435,53.56638628242839,-8.6245985,14.186389,9.790427,34.632774,-6.494374,-10.063548,4.8757343,-17.456911,-33.45036,32.053734,-20.953627,6.3216095,-0.32602838,2.722403,2.7164004,5.133059,12.913219,-30.573223,71.90745,-2.2413852,5.030508,8.85148,8.37464,-11.942096,31.382765,67.60219,7.421375,4.0556393,-11.687629
23,2.114337205886841,-2.3074605464935303,81.72062683105469,0.9442913936371394,-3.6192546382599793,53.59263182073535,-8.839237,14.354993,9.292658,34.786366,-6.7824345,-9.983833,4.788,-16.909428,-33.10549,31.84496,-21.05334,6.3125696,-0.41912007,2.8322082,2.9091654,5.127807,13.078819,-30.338175,71.81439,-2.6881166,4.8915033,8.827176,8.04595,-11.94426,31.358118,67.795105,7.748845,4.2138004,-11.55893
24,2.264679193496704,-2.389378070831299,81.70191192626953,0.8068246060125326,-3.404453725386935,53.47911341999942,-9.183393,14.802981,9.353211,35.099754,-6.6873364,-9.921564,4.644946,-16.574001,-33.243176,31.68251,-21.42919,6.1252785,-0.4928314,2.967117,3.1881707,5.1195683,13.192424,-30.300709,71.682495,-2.7883475,4.8072567,9.164308,7.6712914,-11.981739,31.209362,67.93274,8.033475,4.3012004,-11.6613455
25,2.4262168407440186,-2.455749988555908,81.6844253540039,0.510533364471547,-3.274097641395776,53.44872577297933,-9.594885,15.32692,9.059156,35.621155,-6.5165524,-9.842014,4.5431814,-15.869058,-32.98871,31.409924,-21.626028,5.969062,-0.5960828,3.247293,3.4589243,5.2269683,13.2907295,-30.045843,71.34388,-3.1019068,4.52089,9.103001,7.3316483,-12.06721,31.04605,68.25522,8.071618,4.1753902,-11.2925825
26,2.605715274810791,-2.5070483684539795,81.65281677246094,0.16202608156472226,-3.231944866873911,53.50657762542238,-10.019491,15.83914,8.544983,36.26943,-6.5424657,-9.621846,4.580101,-15.026603,-32.646355,31.050533,-21.873993,5.7996955,-0.6488349,3.529317,3.7583318,5.355618,13.408809,-29.759747,70.58682,-3.184925,4.690183,8.696358,7.110318,-12.237758,30.828037,68.61206,8.287632,4.374998,-11.111156
27,2.8096532821655273,-2.539395570755005,81.61524200439453,-0.19410403824959008,-2.929390675299582,53.360119548276685,-10.848079,16.406471,7.9843473,37.2771,-6.2008724,-9.436964,4.2257266,-14.093057,-31.987926,30.721445,-22.19706,5.451427,-0.62636876,3.9699905,4.209964,5.5538926,13.513887,-29.626917,69.67331,-3.3526382,4.3790812,8.999472,6.926904,-12.497562,30.766848,68.87091,8.20054,4.3283253,-11.056497
28,3.0374510288238525,-2.56176495552063,81.55879211425781,-0.42611840710301463,-2.793256254969094,53.25606200186428,-11.834871,16.797735,7.19987,38.775375,-5.710637,-9.216499,4.218008,-13.549562,-31.954645,30.55383,-22.573793,5.1041756,-0.48696727,4.3707004,4.621317,5.651055,13.591268,-29.150553,68.757195,-4.3409567,4.1416974,9.291837,7.0678463,-12.821978,30.545519,68.777985,8.1805935,4.391191,-10.945173
29,3.2859764099121094,-2.573721408843994,81.4385986328125,-1.0945444911661566,-2.800278343446036,53.197168517788995,-13.451158,17.915617,6.5120206,41.36891,-5.403035,-8.462792,4.298556,-12.138217,-31.23016,30.09384,-22.738224,4.8256183,-0.39711678,5.070393,5.155188,5.8758664,13.644139,-28.43214,67.53005,-5.181905,4.042738,9.8831415,7.1612573,-13.122461,30.500277,68.76191,7.7720785,4.647311,-10.869455
30,3.5648629665374756,-2.58076810836792,81.32843017578125,-1.595689296689171,-2.7830507124511357,52.89603355892514,-16.133024,18.662893,5.638225,45.13897,-4.558237,-7.609119,4.3896112,-10.993033,-30.64058,29.641224,-22.960875,4.626938,-0.21423404,5.761672,5.7237816,6.0919466,13.726654,-28.038517,66.28233,-5.2651024,3.8704653,10.295001,7.406904,-13.437085,30.161844,68.531296,7.958897,4.666088,-11.034014
31,3.878554344177246,-2.578702449798584,81.14535522460938,-2.2802415786665056,-2.7785315736263296,52.18620457703993,-20.42685,18.884499,3.5005112,52.02695,-3.0205915,-6.3350196,4.4157557,-9.5550375,-29.742634,29.142735,-23.086521,4.6654296,0.17937216,6.665756,6.3606935,6.4150653,13.846935,-27.557495,64.80143,-5.493923,3.6467013,10.601816,7.7798615,-13.739083,29.858416,68.09823,7.089977,4.933331,-11.0069895
32,4.254713535308838,-2.5695090293884277,80.99092864990234,-2.644545681472585,-2.90254207474671,51.87905012575576,-24.196457,19.65333,2.828803,58.495396,-2.1522372,-4.771883,4.7650323,-8.642187,-29.362057,28.827557,-23.616173,4.512851,0.59588224,7.330485,7.066497,6.446882,13.932827,-27.141693,63.904327,-5.426316,3.8218808,10.927682,7.822313,-13.995759,29.852081,67.77553,6.6877213,5.27557,-11.357634
33,4.7142229080200195,-2.5315630435943604,80.99006652832031,-2.5727869410896247,-3.332738704412962,51.836944301728174,-28.280657,19.861456,1.8789222,65.03066,-0.73478156,-2.903035,5.157992,-7.969622,-28.081093,28.904465,-23.731071,4.283446,1.0488455,7.9298954,7.7216196,6.7207856,13.937252,-26.542051,63.02416,-5.8496428,4.3116565,11.193099,7.5825605,-14.235717,30.058203,67.92023,6.4092073,5.414887,-12.038611
34,5.286497592926025,-2.411421537399292,80.98228454589844,-2.432080199468952,-3.6034790849593032,51.67459340235472,-32.32174,19.419563,1.0331185,70.51621,0.3472662,-1.7869216,5.6387157,-7.54788,-27.329609,28.945719,-23.86924,4.117129,1.6035826,8.279977,8.396199,7.103403,13.881105,-26.33987,62.742176,-5.470165,4.506288,11.19976,7.123843,-14.3546505,30.11593,68.23803,6.00195,5.626754,-12.555029
35,6.004692554473877,-2.1589558124542236,81.05472564697266,-2.110700438281965,-3.8821519980321764,51.49833725746108,-35.152515,18.046661,0.47384024,73.30258,0.18435055,-1.3883123,6.126138,-7.205897,-26.181658,29.1481,-23.64304,4.0719943,2.075168,8.555818,8.971495,7.7864356,13.675957,-26.10085,62.631813,-5.7321134,4.846161,10.5501585,6.340324,-14.631779,30.41433,68.82485,5.7660437,5.612117,-12.944213
36,6.904112339019775,-1.7139745950698853,81.15882873535156,-1.5432339941793825,-3.9150835937082475,51.88100258874113,-37.76292,16.141985,0.45930037,73.17672,-0.24569248,-1.979603,6.89993,-7.2968674,-25.833597,29.189648,-23.394352,4.1694703,2.5555184,8.7003,9.631702,8.484023,13.378421,-26.21445,62.55558,-5.5276227,5.0054994,10.433223,5.6123056,-14.932778,30.587002,68.91076,6.1856265,5.6204157,-13.346911
37,8.00636100769043,-1.027064323425293,81.3216781616211,-0.5524517661337364,-3.504215402374376,52.368643430239814,-39.63947,13.841632,1.0258374,70.22136,-0.7408452,-2.8337746,7.4784956,-7.8609753,-25.526297,29.23904,-23.029554,4.487318,3.0818436,8.546047,10.26912,9.201657,13.017604,-26.38811,62.833107,-5.755548,4.9484124,10.058471,4.857315,-15.308531,30.662653,68.60777,6.906257,5.4112563,-13.436845
38,9.294363975524902,-0.06517886370420456,81.2418441772461,-0.07685758022603693,-3.001505823922602,53.29310956712408,-41.096935,11.526077,1.456691,64.35,-0.930362,-4.0290413,8.483343,-7.5575128,-25.171604,28.766863,-22.957876,5.007908,3.4675515,8.4687195,11.013369,10.065489,12.673224,-26.57797,62.906666,-5.3630323,4.7681975,9.671689,3.7195573,-15.840138,30.48398,67.83724,7.1668487,5.4314137,-13.351805
