Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,-0.27496325969696045,-2.404085636138916,91.9035873413086,-2.8602175505172984,-6.255249600240829,23.623001805647075,-6.986424,9.944623,-9.282105,32.061047,-9.680255,-14.24835,20.44886,-1.9035064,-38.91245,2.736131,-8.248614,4.1068807,-1.6088834,7.0829163,4.8627677,7.582256,11.235099,-27.038435,68.301994,-7.757304,3.9477954,8.89095,9.219725,-14.899205,29.27863,67.14378,7.22892,4.9749947,-8.64244
13,-0.032314106822013855,-2.5822978019714355,91.92211151123047,-2.652217982886003,-6.225630875325166,23.70056202424561,-7.061269,9.836634,-9.526456,32.255615,-9.221614,-14.504676,20.589014,-1.9103675,-39.13034,2.7843223,-8.375411,3.7383301,-1.5534585,7.176217,4.8059535,7.690229,11.294084,-27.205343,67.87846,-6.898534,4.129467,8.505591,9.246261,-14.907585,29.39688,66.97884,7.062274,4.741206,-8.651899
14,0.2163591980934143,-2.7469305992126465,91.9369125366211,-2.2868862248147024,-6.039699065689559,23.616074000366748,-7.0707636,9.781381,-9.227024,32.10191,-8.908057,-14.59607,20.601318,-2.1364043,-39.554897,2.7685084,-8.533036,3.8816023,-1.5355312,7.1332912,4.686488,7.721276,11.349062,-27.50204,67.57429,-6.11073,4.041801,8.530303,9.218006,-14.919552,29.687567,66.84195,7.113537,4.576985,-8.589788
15,0.46061986684799194,-2.886121988296509,91.91682434082031,-1.932313687521445,-5.872383805209565,23.533242324525183,-6.9184875,9.627798,-9.143953,31.693111,-8.573301,-14.757632,20.686188,-2.3770413,-40.12703,2.7151623,-8.961197,4.05478,-1.4110569,7.012913,4.6283646,7.599753,11.383002,-27.454391,67.27948,-5.9848647,4.030451,8.741381,9.247352,-14.929247,29.833586,66.68468,6.9887238,4.6177835,-8.60755
16,0.6983749866485596,-2.9847333431243896,91.926513671875,-1.8624533605689602,-5.872792203909687,23.39782677465909,-6.685981,9.836904,-9.000129,31.540716,-8.901365,-14.743143,20.90197,-2.3571763,-40.578426,2.7424986,-8.993129,3.7976456,-1.4050137,7.001675,4.728214,7.542015,11.387318,-27.43094,66.942986,-5.6495175,4.120066,8.888752,9.116909,-14.931154,29.855707,66.85337,6.6019034,4.4080157,-8.598088
17,0.9321994185447693,-3.0326344966888428,91.92106628417969,-1.833404739199399,-5.875551603696091,23.074907528235542,-6.4598455,10.007455,-8.889204,31.549387,-8.820182,-14.931413,21.040152,-2.296456,-40.530407,2.7327554,-9.056913,3.7439663,-1.5072325,6.9798822,4.809157,7.5656586,11.39281,-27.628325,66.67338,-5.3945,3.9648652,8.921324,8.887201,-14.93931,29.960424,66.99357,6.5126762,4.206497,-8.566973
18,1.1751832962036133,-3.0259461402893066,91.90254211425781,-1.7003033945771264,-5.7103308765404845,22.994368050512662,-6.4227166,9.899538,-9.022561,31.48691,-8.796968,-14.919641,21.018354,-2.3486483,-40.360962,2.7508793,-9.273325,3.6591105,-1.4670649,6.963966,4.868394,7.4918275,11.383234,-27.515917,66.482544,-5.611552,3.996677,8.996007,8.868622,-14.954924,29.864618,67.05608,6.5161047,4.119312,-8.567217
19,1.4260320663452148,-2.962435483932495,91.85543823242188,-1.755285121479753,-5.601509529643594,23.114421821796302,-6.3638387,9.963107,-9.184094,31.455147,-8.847671,-14.886683,21.19186,-2.2226787,-40.572784,2.6760774,-9.467929,3.7133448,-1.4945687,6.8406353,4.9344473,7.3894463,11.368755,-27.37362,66.46082,-5.696887,3.984674,9.392777,8.946806,-14.981212,29.749949,67.05357,6.4265814,4.4223275,-8.737032
20,1.6957594156265259,-2.8518717288970947,91.76115417480469,-1.870005691131465,-5.165508944181048,23.155700093384088,-6.5561714,9.774157,-9.948894,31.349094,-8.822076,-14.963642,21.028124,-2.044771,-40.67921,2.5622544,-10.004487,3.7061207,-1.4149052,6.812582,4.9779096,7.2918773,11.33268,-27.34225,66.305504,-5.645068,4.193178,9.236209,8.980248,-15.0542755,29.703289,67.089615,6.5526266,4.4912214,-9.317593
21,1.9807583093643188,-2.715252161026001,91.68983459472656,-2.0632745616164914,-4.7470620651537345,23.082971510405052,-6.654074,9.731883,-10.5406475,31.217016,-8.800668,-14.930758,20.910316,-1.835454,-40.907257,2.4468365,-10.200159,3.8714023,-1.3665309,6.671086,4.898084,7.311085,11.28968,-27.164259,66.36741,-5.4147367,4.1399794,9.357103,9.055187,-15.123624,29.64882,67.14318,6.888165,4.5142493,-9.332975
